Country,Cumulative number of cases,Local chains of transmission,date,Number of new cases since last WHO update,Date of last report,Number recovered,Date last probable case reported,Date for which cumulative number of cases is current,Number_of_deaths
China Hong Kong Special Administrative Region^5,1739,NA,2003-05-31,3,NA,1310,31/May/2003,31/May/2003,278
China Macao Special Administrative Region,1,NA,2003-05-31,0,NA,0,21/May/2003,31/May/2003,0
China Taiwan,676,NA,2003-05-31,9,NA,129,31/May/2003,31/May/2003,81
Colombia,1,NA,2003-05-31,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-05-31,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-05-31,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-05-31,1,NA,9,30/May/2003,30/May/2003,0
India,3,NA,2003-05-31,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-05-31,0,NA,2,23/Apr/2003,31/May/2003,0
Italy,9,NA,2003-05-31,0,NA,9,29/Apr/2003,30/May/2003,0
Kuwait,1,NA,2003-05-31,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-05-31,0,NA,3,20/May/2003,31/May/2003,2
Mongolia,9,NA,2003-05-31,0,NA,9,6/May/2003,27/May/2003,0
New Zealand,1,NA,2003-05-31,0,NA,1,30/Apr/2003,30/May/2003,0
Philippines,12,NA,2003-05-31,0,NA,10,15/May/2003,30/May/2003,2
Republic of Ireland,1,NA,2003-05-31,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-05-31,0,NA,3,14/May/2003,31/May/2003,0
Romania,1,NA,2003-05-31,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-05-31,1,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-05-31,0,NA,165,18/May/2003,30/May/2003,31
South Africa,1,NA,2003-05-31,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-05-31,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-05-31,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-05-31,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-05-31,0,NA,6,13/May/2003,28/May/2003,2
United Kingdom,4,NA,2003-05-31,0,NA,4,29/Apr/2003,30/May/2003,0
United States,66,NA,2003-05-31,0,NA,32,27/May/2003,29/May/2003,0
Viet Nam,63,NA,2003-05-31,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8360,NA,2003-05-31,44,NA,5264,NA,NA,764
Australia,5,NA,2003-06-02,0,NA,5,12/May/2003,2/Jun/2003,0
Brazil,2,NA,2003-06-02,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,198,NA,2003-06-02,10,NA,116,1/Jun/2003,1/Jun/2003,30
China,5328,NA,2003-06-02,2,NA,3495,2/Jun/2003,2/Jun/2003,334
China Hong Kong Special Administrative Region^5,1746,NA,2003-06-02,7,NA,1319,2/Jun/2003,2/Jun/2003,282
China Macao Special Administrative Region,1,NA,2003-06-02,0,NA,1,21/May/2003,2/Jun/2003,0
China Taiwan,684,NA,2003-06-02,9,NA,134,2/Jun/2003,2/Jun/2003,81
Colombia,1,NA,2003-06-02,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-02,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-02,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-02,0,NA,9,30/May/2003,30/May/2003,0
India,3,NA,2003-06-02,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-02,0,NA,2,23/Apr/2003,31/May/2003,0
Italy,9,NA,2003-06-02,0,NA,9,29/Apr/2003,30/May/2003,0
Kuwait,1,NA,2003-06-02,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-02,0,NA,3,20/May/2003,2/Jun/2003,2
Mongolia,9,NA,2003-06-02,0,NA,9,6/May/2003,27/May/2003,0
New Zealand,1,NA,2003-06-02,0,NA,1,30/Apr/2003,30/May/2003,0
Philippines,12,NA,2003-06-02,0,NA,10,15/May/2003,2/Jun/2003,2
Republic of Ireland,1,NA,2003-06-02,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-06-02,0,NA,3,14/May/2003,2/Jun/2003,0
Romania,1,NA,2003-06-02,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-02,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-02,0,NA,165,18/May/2003,31/May/2003,31
South Africa,1,NA,2003-06-02,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-02,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-06-02,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-02,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-06-02,0,NA,6,13/May/2003,1/Jun/2003,2
United Kingdom,4,NA,2003-06-02,0,NA,4,29/Apr/2003,30/May/2003,0
United States,66,NA,2003-06-02,0,NA,32,27/May/2003,30/May/2003,0
Viet Nam,63,NA,2003-06-02,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8384,NA,2003-06-02,28,NA,5402,NA,NA,770
Australia,5,NA,2003-06-03,0,NA,5,12/May/2003,3/Jun/2003,0
Brazil,2,NA,2003-06-03,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,213,NA,2003-06-03,15,NA,116,2/Jun/2003,2/Jun/2003,31
China,5329,NA,2003-06-03,3,NA,3558,3/Jun/2003,3/Jun/2003,334
China Hong Kong Special Administrative Region4,1747,NA,2003-06-03,1,NA,1326,3/Jun/2003,3/Jun/2003,283
China Macao Special Administrative Region,1,NA,2003-06-03,0,NA,1,21/May/2003,3/Jun/2003,0
China Taiwan,679,NA,2003-06-03,1,NA,136,3/Jun/2003,3/Jun/2003,81
Colombia,1,NA,2003-06-03,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-03,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-03,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-03,0,NA,9,30/May/2003,3/Jun/2003,0
India,3,NA,2003-06-03,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-03,0,NA,2,23/Apr/2003,3/Jun/2003,0
Italy,9,NA,2003-06-03,0,NA,9,29/Apr/2003,3/Jun/2003,0
Kuwait,1,NA,2003-06-03,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-03,0,NA,3,20/May/2003,2/Jun/2003,2
Mongolia,9,NA,2003-06-03,0,NA,9,6/May/2003,27/May/2003,0
New Zealand,1,NA,2003-06-03,0,NA,1,30/Apr/2003,3/Jun/2003,0
Philippines,12,NA,2003-06-03,0,NA,10,15/May/2003,3/Jun/2003,2
Republic of Ireland,1,NA,2003-06-03,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-06-03,0,NA,3,14/May/2003,3/Jun/2003,0
Romania,1,NA,2003-06-03,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-03,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-03,0,NA,165,18/May/2003,31/May/2003,31
South Africa,1,NA,2003-06-03,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-03,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-06-03,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-03,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-06-03,0,NA,6,13/May/2003,2/Jun/2003,2
United Kingdom,4,NA,2003-06-03,0,NA,4,29/Apr/2003,3/Jun/2003,0
United States,68,NA,2003-06-03,2,NA,33,2/Jun/2003,2/Jun/2003,0
Viet Nam,63,NA,2003-06-03,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8398,NA,2003-06-03,22,NA,5475,NA,NA,772
Australia,5,NA,2003-06-04,0,NA,5,12/May/2003,4/Jun/2003,0
Brazil,2,NA,2003-06-04,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,216,NA,2003-06-04,5,NA,121,3/Jun/2003,3/Jun/2003,31
China,5329,NA,2003-06-04,0,NA,3674,3/Jun/2003,4/Jun/2003,334
China Hong Kong Special Administrative Region^4,1748,NA,2003-06-04,1,NA,1339,4/Jun/2003,4/Jun/2003,283
China Macao Special Administrative Region,1,NA,2003-06-04,0,NA,1,21/May/2003,3/Jun/2003,0
China Taiwan,678,NA,2003-06-04,2,NA,272,4/Jun/2003,4/Jun/2003,81
Colombia,1,NA,2003-06-04,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-04,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-04,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-04,1,NA,9,4/Jun/2003,4/Jun/2003,0
India,3,NA,2003-06-04,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-04,0,NA,2,23/Apr/2003,4/Jun/2003,0
Italy,9,NA,2003-06-04,0,NA,9,29/Apr/2003,3/Jun/2003,0
Kuwait,1,NA,2003-06-04,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-04,0,NA,3,20/May/2003,4/Jun/2003,2
Mongolia,9,NA,2003-06-04,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-04,0,NA,1,30/Apr/2003,4/Jun/2003,0
Philippines,12,NA,2003-06-04,0,NA,10,15/May/2003,4/Jun/2003,2
Republic of Ireland,1,NA,2003-06-04,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-06-04,0,NA,3,14/May/2003,4/Jun/2003,0
Romania,1,NA,2003-06-04,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-04,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-04,0,NA,165,18/May/2003,31/May/2003,31
South Africa,1,NA,2003-06-04,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-04,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-06-04,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-04,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-06-04,0,NA,6,13/May/2003,3/Jun/2003,2
United Kingdom,4,NA,2003-06-04,0,NA,4,29/Apr/2003,4/Jun/2003,0
United States,69,NA,2003-06-04,1,NA,34,3/Jun/2003,3/Jun/2003,0
Viet Nam,63,NA,2003-06-04,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8402,NA,2003-06-04,10,NA,5746,NA,NA,772
Australia,5,NA,2003-06-05,0,NA,5,12/May/2003,5/Jun/2003,0
Brazil,2,NA,2003-06-05,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,218,NA,2003-06-05,5,NA,120,4/Jun/2003,4/Jun/2003,31
China,5329,NA,2003-06-05,0,NA,3770,3/Jun/2003,5/Jun/2003,336
China Hong Kong Special Administrative Region^4,1748,NA,2003-06-05,0,NA,1343,4/Jun/2003,5/Jun/2003,284
China Macao Special Administrative Region,1,NA,2003-06-05,0,NA,1,21/May/2003,3/Jun/2003,0
China Taiwan,677,NA,2003-06-05,1,NA,257,5/Jun/2003,5/Jun/2003,81
Colombia,1,NA,2003-06-05,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-05,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-05,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-05,0,NA,9,4/Jun/2003,5/Jun/2003,0
India,3,NA,2003-06-05,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-05,0,NA,2,23/Apr/2003,5/Jun/2003,0
Italy,9,NA,2003-06-05,0,NA,9,29/Apr/2003,5/Jun/2003,0
Kuwait,1,NA,2003-06-05,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-05,0,NA,3,20/May/2003,4/Jun/2003,2
Mongolia,9,NA,2003-06-05,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-05,0,NA,1,30/Apr/2003,5/Jun/2003,0
Philippines,12,NA,2003-06-05,0,NA,10,15/May/2003,5/Jun/2003,2
Republic of Ireland,1,NA,2003-06-05,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-06-05,0,NA,3,14/May/2003,5/Jun/2003,0
Romania,1,NA,2003-06-05,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-05,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-05,0,NA,165,18/May/2003,31/May/2003,31
South Africa,1,NA,2003-06-05,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-05,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-05,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-05,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-06-05,0,NA,6,13/May/2003,4/Jun/2003,2
United Kingdom,4,NA,2003-06-05,0,NA,4,29/Apr/2003,4/Jun/2003,0
United States,69,NA,2003-06-05,0,NA,34,3/Jun/2003,3/Jun/2003,0
Viet Nam,63,NA,2003-06-05,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8403,NA,2003-06-05,6,NA,5830,NA,NA,775
Australia,5,NA,2003-06-06,0,NA,5,12/May/2003,5/Jun/2003,0
Brazil,2,NA,2003-06-06,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,219,NA,2003-06-06,4,NA,120,5/Jun/2003,5/Jun/2003,31
China,5329,NA,2003-06-06,0,NA,3869,3/Jun/2003,6/Jun/2003,338
China Hong Kong Special Administrative Region^4,1750,NA,2003-06-06,2,NA,1350,6/Jun/2003,6/Jun/2003,286
China Macao Special Administrative Region,1,NA,2003-06-06,0,NA,1,21/May/2003,3/Jun/2003,0
China Taiwan,676,NA,2003-06-06,1,NA,257,6/Jun/2003,6/Jun/2003,81
Colombia,1,NA,2003-06-06,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-06,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-06,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-06,0,NA,9,4/Jun/2003,6/Jun/2003,0
India,3,NA,2003-06-06,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-06,0,NA,2,23/Apr/2003,5/Jun/2003,0
Italy,9,NA,2003-06-06,0,NA,9,29/Apr/2003,6/Jun/2003,0
Kuwait,1,NA,2003-06-06,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-06,0,NA,3,20/May/2003,4/Jun/2003,2
Mongolia,9,NA,2003-06-06,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-06,0,NA,1,30/Apr/2003,6/Jun/2003,0
Philippines,12,NA,2003-06-06,0,NA,10,15/May/2003,6/Jun/2003,2
Republic of Ireland,1,NA,2003-06-06,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-06-06,0,NA,3,14/May/2003,5/Jun/2003,0
Romania,1,NA,2003-06-06,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-06,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-06,0,NA,165,18/May/2003,31/May/2003,31
South Africa,1,NA,2003-06-06,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-06,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-06,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-06,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-06-06,0,NA,6,13/May/2003,5/Jun/2003,2
United Kingdom,4,NA,2003-06-06,0,NA,4,29/Apr/2003,6/Jun/2003,0
United States,68,NA,2003-06-06,1,NA,35,5/Jun/2003,5/Jun/2003,0
Viet Nam,63,NA,2003-06-06,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8404,NA,2003-06-06,8,NA,5937,NA,NA,779
Australia,5,NA,2003-06-09,0,NA,5,12/May/2003,5/Jun/2003,0
Brazil,2,NA,2003-06-09,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,229,NA,2003-06-09,11,NA,128,8/Jun/2003,8/Jun/2003,32
China,5328,NA,2003-06-09,1,NA,4186,7/Jun/2003,9/Jun/2003,340
China Hong Kong Special Administrative Region^5,1753,NA,2003-06-09,3,NA,1365,9/Jun/2003,9/Jun/2003,288
China Macao Special Administrative Region,1,NA,2003-06-09,0,NA,1,21/May/2003,3/Jun/2003,0
China Taiwan,680,NA,2003-06-09,4,NA,257,9/Jun/2003,9/Jun/2003,81
Colombia,1,NA,2003-06-09,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-09,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-09,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-09,0,NA,9,4/Jun/2003,6/Jun/2003,0
India,3,NA,2003-06-09,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-09,0,NA,2,23/Apr/2003,9/Jun/2003,0
Italy,9,NA,2003-06-09,0,NA,9,29/Apr/2003,9/Jun/2003,0
Kuwait,1,NA,2003-06-09,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-09,0,NA,3,20/May/2003,6/Jun/2003,2
Mongolia,9,NA,2003-06-09,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-09,0,NA,1,30/Apr/2003,6/Jun/2003,0
Philippines,12,NA,2003-06-09,0,NA,10,15/May/2003,6/Jun/2003,2
Republic of Ireland,1,NA,2003-06-09,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-06-09,0,NA,3,14/May/2003,9/Jun/2003,0
Romania,1,NA,2003-06-09,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-09,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-09,0,NA,168,18/May/2003,8/Jun/2003,31
South Africa,1,NA,2003-06-09,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-09,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-09,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-09,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-09,1,NA,6,7/Jun/2003,9/Jun/2003,2
United Kingdom,4,NA,2003-06-09,0,NA,4,29/Apr/2003,9/Jun/2003,0
United States,68,NA,2003-06-09,1,NA,35,6/Jun/2003,6/Jun/2003,0
Viet Nam,63,NA,2003-06-09,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8421,NA,2003-06-09,21,NA,6280,NA,NA,784
NA,NA,NA,2003-06-09,NA,NA,NA,NA,NA,NA
Australia,5,NA,2003-06-10,0,NA,5,12/May/2003,5/Jun/2003,0
Brazil,3,NA,2003-06-10,1,NA,2,9/Jun/2003,9/Jun/2003,0
Canada,229,NA,2003-06-10,0,NA,131,8/Jun/2003,9/Jun/2003,32
China,5328,NA,2003-06-10,0,NA,4294,7/Jun/2003,10/Jun/2003,343
China Hong Kong Special Administrative Region^4,1754,NA,2003-06-10,1,NA,1368,10/Jun/2003,10/Jun/2003,290
China Macao Special Administrative Region,1,NA,2003-06-10,0,NA,1,21/May/2003,3/Jun/2003,0
China Taiwan,686,NA,2003-06-10,6,NA,319,10/Jun/2003,10/Jun/2003,81
Colombia,1,NA,2003-06-10,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-10,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-10,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-10,0,NA,9,4/Jun/2003,10/Jun/2003,0
India,3,NA,2003-06-10,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-10,0,NA,2,23/Apr/2003,10/Jun/2003,0
Italy,9,NA,2003-06-10,0,NA,9,29/Apr/2003,10/Jun/2003,0
Kuwait,1,NA,2003-06-10,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-10,0,NA,3,20/May/2003,9/Jun/2003,2
Mongolia,9,NA,2003-06-10,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-10,0,NA,1,30/Apr/2003,10/Jun/2003,0
Philippines,12,NA,2003-06-10,0,NA,10,15/May/2003,6/Jun/2003,2
Republic of Ireland,1,NA,2003-06-10,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-06-10,0,NA,3,14/May/2003,10/Jun/2003,0
Romania,1,NA,2003-06-10,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-10,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-10,0,NA,168,18/May/2003,10/Jun/2003,31
South Africa,1,NA,2003-06-10,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-10,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-10,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-10,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-10,0,NA,6,7/Jun/2003,10/Jun/2003,2
United Kingdom,4,NA,2003-06-10,0,NA,4,29/Apr/2003,10/Jun/2003,0
United States,69,NA,2003-06-10,1,NA,36,9/Jun/2003,9/Jun/2003,0
Viet Nam,63,NA,2003-06-10,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8430,NA,2003-06-10,9,NA,6457,NA,NA,789
Australia,5,NA,2003-06-11,0,NA,5,12/May/2003,5/Jun/2003,0
Brazil,3,NA,2003-06-11,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada,230,NA,2003-06-11,1,NA,134,10/Jun/2003,10/Jun/2003,32
China,5329,NA,2003-06-11,1,NA,4390,11/Jun/2003,11/Jun/2003,343
China Hong Kong Special Administrative Region^4,1754,NA,2003-06-11,0,NA,1368,10/Jun/2003,10/Jun/2003,290
China Macao Special Administrative Region,1,NA,2003-06-11,0,NA,1,21/May/2003,3/Jun/2003,0
China Taiwan,687,NA,2003-06-11,1,NA,344,11/Jun/2003,11/Jun/2003,81
Colombia,1,NA,2003-06-11,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-11,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-11,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-11,0,NA,9,4/Jun/2003,11/Jun/2003,0
India,3,NA,2003-06-11,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-11,0,NA,2,23/Apr/2003,11/Jun/2003,0
Italy,9,NA,2003-06-11,0,NA,9,29/Apr/2003,10/Jun/2003,0
Kuwait,1,NA,2003-06-11,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-11,0,NA,3,20/May/2003,9/Jun/2003,2
Mongolia,9,NA,2003-06-11,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-11,0,NA,1,30/Apr/2003,11/Jun/2003,0
Philippines,12,NA,2003-06-11,0,NA,10,15/May/2003,6/Jun/2003,2
Republic of Ireland,1,NA,2003-06-11,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-06-11,0,NA,3,14/May/2003,11/Jun/2003,0
Romania,1,NA,2003-06-11,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-11,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-11,0,NA,168,18/May/2003,10/Jun/2003,31
South Africa,1,NA,2003-06-11,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-11,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-11,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-11,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-11,0,NA,6,7/Jun/2003,10/Jun/2003,2
United Kingdom,4,NA,2003-06-11,0,NA,4,29/Apr/2003,11/Jun/2003,0
United States,71,NA,2003-06-11,4,NA,36,10/Jun/2003,10/Jun/2003,0
Viet Nam,63,NA,2003-06-11,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8435,NA,2003-06-11,7,NA,6581,NA,NA,789
Australia,5,NA,2003-06-12,0,NA,5,12/May/2003,5/Jun/2003,0
Brazil,3,NA,2003-06-12,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada,238,NA,2003-06-12,8,NA,141,11/Jun/2003,11/Jun/2003,32
China,5328,NA,2003-06-12,0,NA,4457,11/Jun/2003,12/Jun/2003,343
China Hong Kong Special Administrative Region^4,1755,NA,2003-06-12,1,NA,1377,11/Jun/2003,12/Jun/2003,291
China Macao Special Administrative Region,1,NA,2003-06-12,0,NA,1,21/May/2003,12/Jun/2003,0
China Taiwan,688,NA,2003-06-12,2,NA,347,12/Jun/2003,12/Jun/2003,81
Colombia,1,NA,2003-06-12,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-12,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-12,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-12,0,NA,9,4/Jun/2003,12/Jun/2003,0
India,3,NA,2003-06-12,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-12,0,NA,2,23/Apr/2003,11/Jun/2003,0
Italy,9,NA,2003-06-12,0,NA,9,29/Apr/2003,10/Jun/2003,0
Kuwait,1,NA,2003-06-12,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-12,0,NA,3,20/May/2003,9/Jun/2003,2
Mongolia,9,NA,2003-06-12,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-12,0,NA,1,30/Apr/2003,12/Jun/2003,0
Philippines^5,14,NA,2003-06-12,2,NA,12,15/May/2003,12/Jun/2003,2
Republic of Ireland,1,NA,2003-06-12,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-12,0,NA,3,14/May/2003,12/Jun/2003,0
Romania,1,NA,2003-06-12,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-12,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-12,0,NA,169,18/May/2003,11/Jun/2003,31
South Africa,1,NA,2003-06-12,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-12,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-12,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-12,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-12,0,NA,6,7/Jun/2003,11/Jun/2003,2
United Kingdom,4,NA,2003-06-12,0,NA,4,29/Apr/2003,12/Jun/2003,0
